page455	222	0.00340487
page371	22	0.00335302
page148	219	0.00319143
page125	87	0.00263577
page359	99	0.00261284
page432	186	0.00259784
page205	44	0.0025459
page423	122	0.00252253
page354	118	0.00248704
page34	58	0.002447
page121	175	0.00241997
page191	196	0.00241399
page451	118	0.00239953
page484	71	0.00239404
page361	16	0.00239063
page226	25	0.00238567
page206	33	0.00236673
page352	143	0.00236043
page392	38	0.00235858
page140	169	0.00234732
page442	214	0.00233574
page176	40	0.00233231
page22	113	0.00232897
page142	153	0.00232574
page316	192	0.00231253
page190	7	0.00230834
page267	214	0.00229695
page105	27	0.00229469
page97	63	0.00229077
page418	198	0.00228347
page298	45	0.00228015
page120	63	0.00226925
page272	228	0.00226717
page404	135	0.00226279
page462	193	0.00225422
page497	147	0.00224678
page195	195	0.00223888
page77	91	0.00223641
page7	8	0.00223311
page197	8	0.00223306
page251	148	0.00222829
page11	0	0.00222518
page493	218	0.00221783
page390	42	0.00221645
page383	57	0.00221306
page207	103	0.00220373
page215	190	0.00219981
page238	64	0.00219533
page494	84	0.00218965
page360	144	0.00218957
page143	211	0.00218897
page327	213	0.00218439
page312	148	0.00218336
page499	209	0.00217912
page315	67	0.00217909
page403	231	0.00217693
page405	139	0.00217524
page110	70	0.00217502
page0	155	0.00217445
page151	118	0.00217166
page28	27	0.00217157
page331	181	0.00217157
page362	133	0.00216954
page279	166	0.00216652
page444	122	0.00216646
page292	171	0.00216512
page393	100	0.00216444
page89	153	0.00216295
page185	228	0.00216273
page234	200	0.00216211
page66	85	0.00216198
page286	54	0.00215984
page453	64	0.00215803
page303	112	0.00215727
page247	211	0.00215664
page72	58	0.00215467
page237	75	0.00214925
page87	119	0.00214722
page80	166	0.00214638
page486	152	0.0021445
page263	30	0.00214427
page368	191	0.00214401
page344	66	0.00214015
page439	208	0.0021372
page470	155	0.00212999
page498	129	0.00212485
page409	134	0.00212252
page183	129	0.00212125
page114	215	0.00211851
page149	160	0.00211639
page436	128	0.00211584
page179	73	0.00211559
page424	116	0.00211144
page309	77	0.00211075
page419	84	0.00210547
page269	83	0.0021048
page450	145	0.00210237
page107	220	0.00210161
page187	40	0.00210108
page27	147	0.00210048
page495	199	0.00209997
page232	118	0.00209949
page32	171	0.00209857
page67	101	0.00209496
page21	50	0.00209463
page468	76	0.00209457
page112	117	0.00209374
page349	173	0.00209277
page460	47	0.00209276
page220	148	0.00209235
page412	170	0.00209123
page124	166	0.00208985
page23	135	0.00208973
page135	174	0.00208915
page160	140	0.00208909
page244	212	0.00208753
page472	92	0.00208642
