page371	22	0.00337578
page455	222	0.00319793
page148	219	0.00313627
page125	87	0.0026513
page432	186	0.00259833
page359	99	0.00257243
page205	44	0.00253024
page423	122	0.00248068
page354	118	0.00246544
page34	58	0.00242678
page121	175	0.00240512
page451	118	0.0023919
page361	16	0.00238704
page191	196	0.00238378
page140	169	0.00238303
page484	71	0.00237865
page226	25	0.00236666
page206	33	0.00234328
page176	40	0.00234171
page22	113	0.00233275
page190	7	0.00233086
page316	192	0.00232648
page442	214	0.00232477
page392	38	0.00231724
page142	153	0.00231482
page352	143	0.00230297
page97	63	0.00229906
page298	45	0.00229807
page267	214	0.0022956
page418	198	0.00228098
page105	27	0.00227707
page272	228	0.00226243
page404	135	0.00226131
page120	63	0.00224819
page77	91	0.00223269
page195	195	0.00223123
page7	8	0.00222986
page383	57	0.00222313
page251	148	0.00222259
page390	42	0.00222193
page497	147	0.00221962
page89	153	0.00221819
page151	118	0.00221776
page493	218	0.00221752
page197	8	0.00221538
page207	103	0.00221433
page403	231	0.00221209
page247	211	0.00220339
page215	190	0.00219599
page28	27	0.00219061
page315	67	0.00219013
page405	139	0.00218988
page360	144	0.00218926
page462	193	0.00218892
page11	0	0.00218839
page303	112	0.00218706
page312	148	0.00218593
page185	228	0.00218254
page110	70	0.00217621
page238	64	0.00217517
page279	166	0.00217467
page66	85	0.00217426
page143	211	0.00217207
page327	213	0.00217078
page292	171	0.00217028
page0	155	0.00216961
page331	181	0.00216799
page286	54	0.00216663
page179	73	0.00216436
page499	209	0.00216201
page234	200	0.0021583
page444	122	0.00215739
page80	166	0.00215527
page362	133	0.00215493
page494	84	0.00215413
page368	191	0.00215342
page393	100	0.00215104
page470	155	0.00214505
page453	64	0.00214248
page436	128	0.00214212
page486	152	0.00214098
page237	75	0.00213998
page149	160	0.00213914
page72	58	0.00213739
page409	134	0.00213658
page439	208	0.00213524
page263	30	0.00213518
page344	66	0.00213383
page232	118	0.00213345
page183	129	0.0021333
page87	119	0.00213236
page114	215	0.00213016
page450	145	0.00211744
page495	199	0.00211624
page460	47	0.00211211
page309	77	0.00211049
page419	84	0.00211011
page269	83	0.00210271
page387	56	0.00210241
page498	129	0.00209835
page428	94	0.00209695
page468	76	0.00209677
page124	166	0.00209402
page469	195	0.00209279
page424	116	0.00209246
page244	212	0.0020908
page412	170	0.00209003
page67	101	0.00208993
page220	148	0.0020897
page135	174	0.00208803
page23	135	0.00208732
page260	153	0.00208723
page302	135	0.00208662
page32	171	0.00208645
page236	172	0.00208618
page376	100	0.00208576
page167	210	0.00208105
page187	40	0.00208007
page347	190	0.00207944
page398	62	0.00207866
page112	117	0.00207823
page349	173	0.00207618
page155	201	0.00207603
page75	166	0.00207553
page160	140	0.0020747
page27	147	0.00207278
page472	92	0.00207275
page212	138	0.00207186
page21	50	0.00207151
page355	106	0.00207024
page231	149	0.00206651
page156	10	0.00206648
page427	44	0.00206628
page252	103	0.00206547
page416	147	0.0020653
page356	20	0.00206458
page283	1	0.00206439
page96	47	0.00206411
page174	44	0.00206399
page288	213	0.00206383
page366	172	0.00206285
page126	31	0.00206263
page107	220	0.00206048
page214	84	0.00205943
page320	54	0.00205909
page137	8	0.00205891
page443	73	0.00205877
page478	191	0.0020567
page57	145	0.0020565
page408	28	0.00205624
page438	157	0.00205272
page492	61	0.00205236
page284	166	0.00205091
page200	148	0.00204997
page86	199	0.00204985
page350	77	0.00204763
page265	77	0.00204622
page225	105	0.00204558
page164	219	0.00204552
page38	20	0.0020422
page264	96	0.00204213
page386	29	0.00204126
page184	104	0.0020407
page290	160	0.0020391
page456	7	0.00203896
page270	80	0.00203816
